inconsistenciesObjective,aestheticObjective
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
1015.0,162.637
835.0,333.333
895.0,108.046
895.0,0.0
895.0,0.0
866.0,16.0
895.0,578.053
895.0,0.0
835.0,333.333
895.0,0.0
1015.0,162.637
895.0,285.714
1000000.0,415.041
835.0,333.333
1000000.0,382.284
835.0,333.333
895.0,0.0
895.0,108.046
1015.0,162.637
895.0,0.0
895.0,0.0
866.0,16.0
1015.0,162.637
895.0,0.0
895.0,0.0
887.0,512.867
1000000.0,756.322
1000000.0,376.03
895.0,0.0
895.0,0.0
895.0,108.046
895.0,108.046
1000000.0,195.804
895.0,108.046
1000000.0,108.046
689.0,1071.242
895.0,108.046
895.0,108.046
895.0,0.0
866.0,16.0
895.0,0.0
1015.0,162.637
895.0,0.0
1015.0,762.637
895.0,0.0
895.0,0.0
866.0,16.0
895.0,108.046
895.0,0.0
937.0,560.0
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
895.0,0.0
895.0,108.046
796.0,333.333
895.0,539.93
1000000.0,194.086
1000000.0,221.887
866.0,16.0
895.0,368.287
835.0,333.333
1000000.0,867.07
835.0,2178.998
835.0,1037.619
895.0,0.0
895.0,0.0
835.0,333.333
895.0,0.0
895.0,0.0
835.0,333.333
955.0,993.694
895.0,0.0
866.0,16.0
1015.0,162.637
856.0,613.333
1005.0,266.667
895.0,0.0
835.0,333.333
1015.0,162.637
895.0,108.046
895.0,0.0
895.0,1200.0
895.0,108.046
865.0,864.054
895.0,0.0
895.0,0.0
895.0,142.857
895.0,0.0
895.0,108.046
976.0,282.667
1136.0,204.015
14709.0,1584.522
1000000.0,334.504
1000000.0,501.603
895.0,108.046
689.0,3871.242
689.0,3871.242
689.0,3871.242
689.0,3871.242
701.0,1022.721
677.0,1119.764
653.0,1216.807
605.0,1410.893
61114.0,1822.815
617.0,1362.372
593.0,1459.415
569.0,1556.458
61358.0,1766.794
581.0,1507.936
33067.0,1606.229
689.0,1351.242
1000000.0,1351.242
1000000.0,1120.193
689.0,1120.193
689.0,1092.929
689.0,1092.929
689.0,3871.242
689.0,3871.242
689.0,4071.242
689.0,4071.242
689.0,4071.242
689.0,4071.242
1000000.0,1092.028
745.0,1092.028
689.0,1671.242
1000000.0,1671.242
1000000.0,1108.632
689.0,1108.632
689.0,4071.242
711.0,4071.242
689.0,4071.242
689.0,4071.242
689.0,2071.242
675.0,2071.242
647.0,2071.242
591.0,2071.242
231.0,2071.242
231.0,2071.242
231.0,2071.242
231.0,2071.242
735.0,2071.242
675.0,2071.242
647.0,2071.242
591.0,2071.242
231.0,2071.242
231.0,2071.242
231.0,2071.242
231.0,2071.242
1000000.0,1099.287
689.0,1099.287
748.0,1204.576
638.0,937.909
1000000.0,1204.576
689.0,1071.242
1000000.0,1071.242
1000000.0,1158.199
689.0,1158.199
689.0,2071.242
689.0,2071.242
689.0,2071.242
689.0,2071.242
660.0,1087.242
602.0,1119.242
630.0,1183.242
573.0,1135.242
641.0,1167.242
652.0,1151.242
602.0,1119.242
662.0,2071.242
608.0,2071.242
265.0,2071.242
355.0,2071.242
277.0,2071.242
353.0,2071.242
1000000.0,1118.246
779.0,1118.246
629.0,1237.909
539.0,1571.242
231.0,2237.909
485.0,1737.909
231.0,2071.242
231.0,2737.909
231.0,2237.909
231.0,1904.576
539.0,1571.242
231.0,2071.242
485.0,1737.909
1000000.0,1179.288
689.0,1179.288
689.0,1775.528
689.0,1775.528
689.0,2071.242
689.0,2071.242
689.0,2071.242
718.0,2071.242
664.0,2071.242
614.0,2071.242
259.0,2071.242
243.0,2071.242
231.0,2071.242
355.0,2071.242
1000000.0,1139.871
689.0,1139.871
629.0,1237.909
539.0,1571.242
231.0,2237.909
689.0,3571.242
231.0,2404.576
231.0,2071.242
485.0,1737.909
231.0,2237.909
231.0,1904.576
539.0,1571.242
231.0,2071.242
485.0,1737.909
1000000.0,1214.1
689.0,1214.1
689.0,2071.242
689.0,2071.242
689.0,2071.242
689.0,2071.242
706.0,1100.909
672.0,1100.909
638.0,1160.242
570.0,1278.909
231.0,1516.242
1000.0,1990.909
231.0,1486.576
231.0,1427.242
553.0,1308.576
231.0,1397.576
340.0,1338.242
231.0,1367.909
553.0,1308.576
340.0,1338.242
231.0,1397.576
735.0,3271.242
671.0,3271.242
635.0,3271.242
563.0,3271.242
231.0,3271.242
907.0,3271.242
231.0,3271.242
231.0,3271.242
1000000.0,1119.029
620.0,1119.429
568.0,1215.801
231.0,1408.546
349.0,1794.037
231.0,1360.36
348.0,1263.988
342.0,1312.174
231.0,1408.546
629.0,1477.909
834.0,2291.242
590.0,1884.576
814.0,2697.909
834.0,2291.242
629.0,1477.909
1000000.0,1360.269
689.0,1360.269
689.0,3072.909
689.0,3072.909
689.0,2083.242
689.0,2083.242
895.0,0.0
895.0,708.046
895.0,0.0
835.0,333.333
835.0,406.667
895.0,0.0
866.0,16.0
895.0,0.0
895.0,0.0
895.0,539.93
1000000.0,521.348
895.0,220.436
1000000.0,221.887
835.0,333.333
835.0,333.333
1000000.0,346.977
895.0,285.714
895.0,0.0
895.0,108.046
895.0,1200.0
1000000.0,334.504
15983.0,1790.424
937.0,560.0
895.0,0.0
856.0,613.333
929.0,856.0
1015.0,162.637
895.0,0.0
1005.0,335.296
895.0,294.995
895.0,108.046
895.0,108.046
895.0,0.0
895.0,108.046
1136.0,204.015
1000000.0,1448.693
835.0,333.333
1000000.0,411.288
1015.0,162.637
887.0,512.867
895.0,972.414
835.0,333.333
895.0,0.0
835.0,333.333
895.0,0.0
1000000.0,374.008
1136.0,1486.354
895.0,0.0
895.0,0.0
963.0,607.226
1000000.0,867.07
1000000.0,1113.483
895.0,0.0
895.0,108.046
1689.0,423.034
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
1000000.0,858.751
886.0,648.046
835.0,549.425
895.0,285.714
1015.0,162.637
573.0,790.069
1000000.0,415.041
895.0,0.0
866.0,100.135
1000000.0,295.118
1015.0,202.054
835.0,333.333
835.0,333.333
1000000.0,108.046
895.0,0.0
895.0,108.046
5110.0,1023.586
5800.0,1772.471
895.0,0.0
1000000.0,382.284
866.0,16.0
895.0,0.0
895.0,0.0
895.0,0.0
895.0,0.0
835.0,333.333
777.0,651.048
895.0,0.0
856.0,946.667
895.0,0.0
1000000.0,1436.814
895.0,0.0
895.0,372.671
1000000.0,216.092
895.0,0.0
1000000.0,108.046
895.0,578.053
895.0,0.0
865.0,864.054
835.0,2178.998
796.0,333.333
231.0,4160.36
231.0,4160.36
231.0,4160.36
231.0,4160.36
243.0,1311.839
219.0,1408.882
195.0,1505.925
147.0,1700.011
60656.0,2111.933
159.0,1651.489
135.0,1748.532
111.0,1845.575
60900.0,2055.912
123.0,1797.054
32609.0,1895.347
231.0,1640.36
1000000.0,1640.36
1000000.0,1409.311
231.0,1409.311
231.0,1382.047
231.0,1382.047
231.0,4160.36
231.0,4160.36
231.0,4360.36
231.0,4360.36
231.0,4360.36
231.0,4360.36
1000000.0,1381.146
287.0,1381.146
231.0,1960.36
1000000.0,1960.36
1000000.0,1397.75
231.0,1397.75
231.0,4360.36
253.0,4360.36
231.0,4360.36
231.0,4360.36
231.0,2360.36
231.0,2360.36
231.0,2360.36
231.0,2360.36
1000000.0,1388.405
231.0,1388.405
239.0,1493.693
231.0,1227.027
1000000.0,1493.693
231.0,1360.36
1000000.0,1360.36
1000000.0,1447.317
231.0,1447.317
231.0,2360.36
231.0,2360.36
231.0,2360.36
231.0,2360.36
231.0,1376.36
231.0,1344.36
351.0,1376.36
231.0,1360.36
346.0,1360.36
231.0,2360.36
231.0,2360.36
1000000.0,1407.364
354.0,1407.364
231.0,1527.027
1000000.0,1527.027
1000000.0,1468.406
231.0,1468.406
231.0,2064.646
231.0,2064.646
231.0,2360.36
231.0,2360.36
231.0,2360.36
231.0,2360.36
235.0,2360.36
231.0,2360.36
1000000.0,1428.989
231.0,1428.989
231.0,1527.027
1000000.0,1527.027
1000000.0,1503.217
231.0,1503.217
231.0,2360.36
231.0,2360.36
231.0,2360.36
231.0,2360.36
231.0,1390.027
231.0,1390.027
259.0,3560.36
231.0,3560.36
342.0,1312.174
231.0,1408.546
231.0,1767.027
1000000.0,1767.027
1000000.0,1649.387
231.0,1649.387
231.0,3362.027
231.0,3362.027
231.0,2372.36
231.0,2372.36
895.0,195.804
895.0,112.18
835.0,333.333
856.0,613.333
231.0,1904.576
865.0,864.054
895.0,0.0
895.0,0.0
916.0,280.0
865.0,864.054
895.0,0.0
895.0,0.0
895.0,0.0
895.0,0.0
895.0,0.0
912.0,29.667
835.0,333.333
895.0,0.0
1000000.0,1229.101
835.0,1037.619
895.0,0.0
866.0,700.135
1000000.0,1432.418
835.0,333.333
835.0,333.333
1000000.0,1162.269
895.0,0.0
1000000.0,2585.76
895.0,0.0
895.0,0.0
835.0,333.333
1000000.0,1281.054
958.0,982.857
895.0,0.0
259.0,2071.242
1000000.0,1125.688
745.0,2512.332
1000000.0,448.678
796.0,333.333
895.0,0.0
2583.0,1361.305
1000000.0,2642.671
866.0,16.0
835.0,333.333
895.0,0.0
231.0,1936.576
835.0,333.333
856.0,946.667
835.0,333.333
1000000.0,2190.29
1000000.0,709.364
852.0,363.0
835.0,2049.619
895.0,0.0
895.0,0.0
843.0,669.706
856.0,865.738
231.0,1904.576
886.0,648.046
835.0,333.333
887.0,512.867
835.0,933.333
835.0,333.333
745.0,500.0
1000000.0,1575.777
231.0,1904.576
1000000.0,832.168
866.0,16.0
866.0,16.0
231.0,1534.576
895.0,1012.0
835.0,333.333
835.0,333.333
835.0,761.905
1000000.0,715.624
835.0,333.333
895.0,0.0
1378.0,554.462
265.0,2071.242
801.0,392.667
895.0,0.0
895.0,0.0
539.0,1571.242
1000000.0,1192.169
895.0,0.0
961.0,593.344
573.0,790.069
835.0,476.19
835.0,333.333
835.0,166.667
877.0,893.333
231.0,2164.817
895.0,0.0
1000000.0,1163.967
883.0,841.343
895.0,600.0
835.0,2178.998
895.0,0.0
898.0,341.301
877.0,1207.327
111.0,4645.575
111.0,4645.575
111.0,4645.575
111.0,4645.575
123.0,1797.054
32609.0,1895.347
111.0,2125.575
1000000.0,2125.575
1000000.0,1894.526
111.0,1894.526
111.0,1867.262
111.0,1867.262
111.0,4645.575
111.0,4645.575
111.0,4845.575
111.0,4845.575
111.0,4845.575
111.0,4845.575
1000000.0,1866.361
167.0,1866.361
111.0,2445.575
1000000.0,2445.575
1000000.0,1882.965
111.0,1882.965
111.0,4845.575
133.0,4845.575
111.0,4845.575
111.0,4845.575
111.0,2845.575
111.0,2845.575
111.0,2845.575
111.0,2845.575
1000000.0,1873.62
111.0,1873.62
119.0,1978.909
111.0,1712.242
1000000.0,1978.909
111.0,1845.575
1000000.0,1845.575
1000000.0,1932.532
111.0,1932.532
111.0,2845.575
111.0,2845.575
111.0,2845.575
111.0,2845.575
111.0,1861.575
111.0,1829.575
231.0,1861.575
111.0,1845.575
226.0,1845.575
111.0,2845.575
111.0,2845.575
1000000.0,1892.579
234.0,1892.579
111.0,2012.242
1000000.0,2012.242
1000000.0,1953.621
111.0,1953.621
111.0,2549.861
111.0,2549.861
111.0,2845.575
111.0,2845.575
111.0,2845.575
111.0,2845.575
115.0,2845.575
111.0,2845.575
1000000.0,1914.204
111.0,1914.204
111.0,2012.242
1000000.0,2012.242
1000000.0,1988.433
111.0,1988.433
111.0,2845.575
111.0,2845.575
111.0,2845.575
111.0,2845.575
111.0,1875.242
111.0,1875.242
139.0,4045.575
111.0,4045.575
222.0,1797.389
111.0,1893.762
111.0,2252.242
1000000.0,2252.242
1000000.0,2134.602
111.0,2134.602
111.0,3847.242
111.0,3847.242
111.0,2857.575
111.0,2857.575
4996.0,2966.421
231.0,2608.861
835.0,333.333
539.0,1571.242
835.0,333.333
835.0,528.514
856.0,865.738
835.0,761.905
1000000.0,3012.269
1000000.0,679.384
231.0,1367.909
1000000.0,539.221
835.0,333.333
1000000.0,1043.74
835.0,2178.998
231.0,1904.576
2715.0,1242.657
835.0,333.333
835.0,333.333
745.0,666.667
835.0,333.333
866.0,16.0
849.0,331.381
504.0,1770.124
835.0,1037.619
1000000.0,578.089
835.0,333.333
835.0,333.333
231.0,2164.817
929.0,856.0
801.0,681.693
835.0,980.0
1000000.0,2570.607
499.0,1691.936
1019.0,2399.836
856.0,946.667
231.0,2071.242
638.0,937.909
835.0,333.333
963.0,723.695
265.0,2071.242
835.0,761.905
835.0,166.667
835.0,870.952
231.0,3004.817
1000000.0,2884.055
866.0,16.0
893.0,198.667
231.0,1360.36
856.0,865.738
835.0,333.333
856.0,613.333
231.0,3271.242
590.0,1884.576
835.0,1037.619
111.0,1845.575
856.0,946.667
1000000.0,1489.44
835.0,333.333
569.0,1556.458
1000000.0,1000.387
835.0,333.333
1475.0,920.746
638.0,937.909
835.0,333.333
835.0,333.333
231.0,1904.576
866.0,16.0
590.0,1884.576
231.0,1904.576
590.0,1884.576
835.0,933.333
835.0,333.333
745.0,2512.332
638.0,937.909
856.0,865.738
856.0,865.738
835.0,688.594
866.0,16.0
111.0,2120.092
1000000.0,2336.76
231.0,2345.759
745.0,2512.332
734.0,2330.584
866.0,16.0
110320.0,3126.076
143068.0,4046.004
835.0,333.333
539.0,1571.242
231.0,1227.027
835.0,166.667
314.0,3512.174
1025.0,2455.122
231.0,2071.242
1000000.0,2379.737
1000000.0,1535.67
835.0,1037.619
231.0,1967.909
835.0,333.333
835.0,333.333
111.0,4512.242
111.0,4512.242
111.0,4512.242
111.0,4512.242
123.0,1663.721
32609.0,1762.014
111.0,1992.242
1000000.0,1992.242
1000000.0,1761.193
111.0,1761.193
111.0,1733.929
111.0,1733.929
111.0,4512.242
111.0,4512.242
111.0,4712.242
111.0,4712.242
111.0,4712.242
111.0,4712.242
1000000.0,1733.028
167.0,1733.028
111.0,2312.242
1000000.0,2312.242
1000000.0,1749.632
111.0,1749.632
111.0,4712.242
133.0,4712.242
111.0,4712.242
111.0,4712.242
111.0,2712.242
111.0,2712.242
111.0,2712.242
111.0,2712.242
1000000.0,1740.287
111.0,1740.287
111.0,1845.575
1000000.0,1845.575
1000000.0,1799.199
111.0,1799.199
111.0,2712.242
111.0,2712.242
111.0,2712.242
111.0,2712.242
111.0,1728.242
111.0,1696.242
231.0,1728.242
111.0,1712.242
226.0,1712.242
111.0,2712.242
111.0,2712.242
1000000.0,1759.246
