inconsistenciesObjective,aestheticObjective
895.0,0.0
895.0,0.0
866.0,16.0
895.0,0.0
1015.0,162.637
835.0,333.333
895.0,108.046
895.0,0.0
895.0,0.0
745.0,666.667
1000000.0,480.403
895.0,0.0
895.0,0.0
1000000.0,342.657
1378.0,427.288
895.0,0.0
866.0,156.225
866.0,16.0
895.0,0.0
866.0,16.0
895.0,108.046
866.0,16.0
1000000.0,639.574
866.0,16.0
835.0,333.333
835.0,333.333
1015.0,162.637
1032.0,192.303
895.0,0.0
835.0,333.333
835.0,333.333
895.0,0.0
895.0,108.046
937.0,820.87
895.0,0.0
1000000.0,268.405
895.0,108.046
835.0,333.333
895.0,0.0
895.0,0.0
835.0,500.0
835.0,333.333
1015.0,162.637
1018.0,490.056
895.0,0.0
895.0,0.0
835.0,406.667
895.0,0.0
835.0,333.333
5609.0,897.356
866.0,16.0
1000000.0,876.162
895.0,0.0
895.0,0.0
895.0,0.0
1015.0,162.637
1000000.0,285.714
895.0,0.0
866.0,16.0
835.0,166.667
895.0,0.0
835.0,333.333
1060.0,400.0
895.0,108.046
3119.0,947.823
1000000.0,430.077
1000000.0,172.524
1000000.0,274.817
808.0,48.0
866.0,16.0
866.0,16.0
835.0,333.333
866.0,16.0
775.0,485.215
895.0,0.0
866.0,16.0
895.0,108.046
929.0,59.333
835.0,333.333
866.0,16.0
895.0,0.0
895.0,0.0
1000000.0,391.608
1015.0,162.637
895.0,0.0
835.0,666.127
1015.0,162.637
895.0,0.0
1015.0,162.637
895.0,0.0
895.0,0.0
895.0,0.0
895.0,1200.0
895.0,0.0
1015.0,162.637
895.0,0.0
1000000.0,1358.603
895.0,0.0
895.0,108.046
895.0,0.0
895.0,0.0
745.0,3466.667
739.0,3466.667
727.0,3466.667
703.0,3466.667
655.0,3466.667
559.0,3466.667
367.0,3466.667
1080.0,3466.667
373.0,3466.667
361.0,3466.667
349.0,3466.667
325.0,3466.667
286.0,3466.667
436.0,3466.667
286.0,3466.667
286.0,3466.667
745.0,3466.667
745.0,3466.667
1000000.0,715.188
733.0,715.188
709.0,812.231
661.0,1006.317
565.0,1394.49
32755.0,2175.834
577.0,1345.968
553.0,1443.011
529.0,1540.054
481.0,1734.14
32895.0,2123.563
493.0,1685.619
469.0,1782.662
445.0,1879.705
397.0,2073.791
114897.0,2510.713
409.0,2025.269
32895.0,2123.563
766.0,946.667
1000000.0,946.667
1000000.0,715.618
745.0,715.618
745.0,688.353
745.0,688.353
745.0,3466.667
745.0,3466.667
745.0,3666.667
745.0,3666.667
745.0,3666.667
745.0,3666.667
1000000.0,687.452
801.0,687.452
745.0,1266.667
1000000.0,1266.667
1000000.0,704.056
745.0,704.056
745.0,3666.667
767.0,3666.667
745.0,3666.667
745.0,3666.667
745.0,1666.667
731.0,1666.667
459.0,1666.667
459.0,1666.667
717.0,1666.667
459.0,1666.667
797.0,1666.667
731.0,1666.667
459.0,1666.667
459.0,1666.667
717.0,1666.667
459.0,1666.667
1000000.0,694.712
745.0,694.712
796.0,800.0
1000000.0,800.0
1000000.0,753.623
745.0,753.623
745.0,1666.667
745.0,1666.667
745.0,1666.667
745.0,1666.667
716.0,682.667
459.0,714.667
459.0,778.667
459.0,730.667
459.0,698.667
745.0,666.667
459.0,714.667
716.0,682.667
718.0,1666.667
459.0,1666.667
483.0,1666.667
459.0,1666.667
459.0,1666.667
1000000.0,713.67
955.0,713.67
745.0,833.333
745.0,500.0
1000000.0,833.333
745.0,666.667
1000000.0,666.667
1000000.0,774.713
745.0,774.713
745.0,1370.952
745.0,1370.952
745.0,1666.667
745.0,1666.667
745.0,1666.667
774.0,1666.667
720.0,1666.667
471.0,1666.667
487.0,1666.667
475.0,1666.667
467.0,1666.667
745.0,666.667
471.0,1666.667
720.0,1666.667
1000000.0,735.296
745.0,735.296
459.0,833.333
459.0,1166.667
459.0,1000.0
745.0,666.667
1000000.0,809.524
745.0,809.524
745.0,1666.667
745.0,1666.667
745.0,1666.667
745.0,1666.667
762.0,696.333
728.0,696.333
459.0,755.667
459.0,874.333
459.0,726.0
745.0,666.667
728.0,696.333
459.0,755.667
791.0,2866.667
727.0,2866.667
459.0,2866.667
459.0,2866.667
459.0,2866.667
459.0,2866.667
1000000.0,714.453
869.0,714.853
745.0,1073.333
1000000.0,1073.333
1000000.0,955.693
745.0,955.693
745.0,2668.333
745.0,2668.333
745.0,1678.667
745.0,1678.667
835.0,333.333
1000000.0,468.697
866.0,16.0
895.0,0.0
1000000.0,693.53
895.0,0.0
1032.0,192.303
1000000.0,702.857
835.0,166.667
1000000.0,876.162
1000000.0,172.524
866.0,16.0
883.0,45.667
895.0,0.0
835.0,333.333
1000000.0,264.569
1015.0,162.637
895.0,0.0
866.0,16.0
895.0,0.0
800.0,160.559
1000000.0,391.608
1000000.0,474.423
1000000.0,523.762
1015.0,162.637
866.0,16.0
866.0,16.0
835.0,333.333
1000000.0,971.726
835.0,333.333
866.0,16.0
1015.0,162.637
895.0,0.0
1000000.0,285.714
895.0,0.0
801.0,1038.332
5609.0,897.356
835.0,500.0
1000000.0,391.608
1195.0,235.019
835.0,333.333
1000000.0,173.913
1000000.0,342.657
895.0,0.0
1000000.0,639.574
1000000.0,1518.578
895.0,0.0
866.0,16.0
1000000.0,336.54
895.0,108.046
767.0,1361.333
835.0,333.333
893.0,365.333
866.0,16.0
895.0,0.0
895.0,0.0
835.0,333.333
131788.0,468.741
835.0,333.333
1015.0,162.637
1015.0,162.637
895.0,108.046
796.0,755.667
866.0,189.494
1000000.0,1358.603
895.0,108.046
895.0,108.046
895.0,1012.0
895.0,2400.0
1000000.0,268.405
895.0,0.0
895.0,0.0
895.0,0.0
835.0,333.333
916.0,388.046
895.0,0.0
866.0,16.0
1000000.0,888.172
895.0,108.046
895.0,0.0
917.0,105.0
1000000.0,342.657
895.0,0.0
929.0,202.19
866.0,16.0
1000000.0,172.524
866.0,16.0
895.0,0.0
937.0,820.87
866.0,16.0
1000000.0,498.759
924.0,1216.0
1015.0,162.637
1000000.0,1442.077
1000000.0,728.263
835.0,333.333
1015.0,162.637
866.0,16.0
866.0,156.225
895.0,108.046
286.0,3466.667
286.0,3466.667
286.0,6266.667
286.0,6266.667
1000000.0,3515.188
4945.0,3515.188
298.0,3746.667
1000000.0,3746.667
1000000.0,3515.618
328.0,3515.618
286.0,3488.353
286.0,3488.353
286.0,6266.667
286.0,6266.667
286.0,6466.667
286.0,6466.667
286.0,6466.667
286.0,6466.667
1000000.0,3487.452
342.0,3487.452
286.0,4066.667
1000000.0,4066.667
1000000.0,3504.056
286.0,3504.056
286.0,6466.667
318.0,6466.667
286.0,6466.667
286.0,6466.667
286.0,4466.667
272.0,4466.667
0.0,4466.667
0.0,4466.667
258.0,4466.667
0.0,4466.667
338.0,4466.667
272.0,4466.667
0.0,4466.667
0.0,4466.667
258.0,4466.667
0.0,4466.667
1000000.0,3494.712
286.0,3494.712
337.0,3600.0
1000000.0,3600.0
1000000.0,3553.623
286.0,3553.623
286.0,4466.667
286.0,4466.667
286.0,4466.667
286.0,4466.667
257.0,3482.667
0.0,3514.667
0.0,3578.667
0.0,3530.667
0.0,3498.667
286.0,3466.667
0.0,3514.667
257.0,3482.667
259.0,4466.667
0.0,4466.667
24.0,4466.667
0.0,4466.667
0.0,4466.667
1000000.0,3513.67
496.0,3513.67
286.0,3633.333
286.0,3300.0
1000000.0,3633.333
286.0,3466.667
1000000.0,3466.667
1000000.0,3574.713
286.0,3574.713
286.0,4170.952
286.0,4170.952
286.0,4466.667
286.0,4466.667
286.0,4466.667
315.0,4466.667
261.0,4466.667
12.0,4466.667
28.0,4466.667
16.0,4466.667
8.0,4466.667
286.0,3466.667
12.0,4466.667
261.0,4466.667
1000000.0,3535.296
286.0,3535.296
0.0,3633.333
0.0,3966.667
0.0,3800.0
286.0,3466.667
1000000.0,3609.524
286.0,3609.524
286.0,4466.667
286.0,4466.667
286.0,4466.667
286.0,4466.667
303.0,3496.333
269.0,3496.333
0.0,3555.667
0.0,3674.333
0.0,3526.0
286.0,3466.667
269.0,3496.333
0.0,3555.667
332.0,5666.667
268.0,5666.667
0.0,5666.667
0.0,5666.667
0.0,5666.667
0.0,5666.667
1000000.0,3514.453
410.0,3514.853
286.0,3873.333
1000000.0,3873.333
1000000.0,3755.693
286.0,3755.693
286.0,5468.333
286.0,5468.333
286.0,4478.667
286.0,4478.667
895.0,0.0
835.0,333.333
895.0,0.0
835.0,333.333
1000000.0,2844.031
895.0,0.0
459.0,698.667
866.0,16.0
893.0,365.333
835.0,333.333
835.0,406.667
866.0,189.494
866.0,16.0
835.0,500.0
866.0,16.0
775.0,485.215
138980.0,1894.042
835.0,333.333
866.0,16.0
866.0,1201.494
286.0,3466.667
1000000.0,1724.263
1000000.0,696.743
835.0,333.333
1196.0,679.59
895.0,0.0
866.0,254.764
886.0,466.667
835.0,333.333
856.0,613.333
835.0,166.667
835.0,333.333
866.0,16.0
895.0,0.0
895.0,0.0
1000000.0,94.008
866.0,16.0
887.0,296.0
1000000.0,859.982
866.0,16.0
895.0,0.0
835.0,333.333
895.0,0.0
895.0,84.135
895.0,0.0
777.0,365.333
459.0,1666.667
866.0,16.0
835.0,333.333
1000000.0,944.773
1000000.0,427.536
835.0,333.333
835.0,333.333
976.0,282.667
866.0,16.0
767.0,1361.333
835.0,333.333
895.0,0.0
895.0,0.0
2999.0,785.186
895.0,0.0
866.0,16.0
6849.0,1159.085
866.0,16.0
835.0,500.0
866.0,16.0
775.0,659.128
895.0,0.0
835.0,333.333
784.0,1391.0
866.0,16.0
866.0,189.494
745.0,666.667
866.0,16.0
1075.0,1486.345
835.0,333.333
866.0,405.586
866.0,16.0
895.0,0.0
835.0,333.333
835.0,406.667
866.0,189.494
800.0,160.559
963.0,1587.226
895.0,0.0
1000000.0,660.716
895.0,0.0
745.0,500.0
895.0,0.0
835.0,333.333
459.0,833.333
745.0,2466.667
895.0,0.0
1000000.0,423.034
895.0,0.0
866.0,16.0
745.0,666.667
866.0,16.0
866.0,189.494
1000000.0,1592.816
0.0,3498.667
0.0,3498.667
0.0,6298.667
0.0,6298.667
1000000.0,3547.188
4659.0,3547.188
12.0,3778.667
1000000.0,3778.667
1000000.0,3547.618
42.0,3547.618
0.0,3520.353
0.0,3520.353
0.0,6298.667
0.0,6298.667
0.0,6498.667
0.0,6498.667
0.0,6498.667
0.0,6498.667
1000000.0,3519.452
56.0,3519.452
0.0,4098.667
1000000.0,4098.667
1000000.0,3536.056
0.0,3536.056
0.0,6498.667
32.0,6498.667
0.0,6498.667
0.0,6498.667
0.0,4498.667
0.0,4498.667
60.0,4498.667
0.0,4498.667
1000000.0,3526.712
0.0,3526.712
279.0,3632.0
1000000.0,3632.0
1000000.0,3585.623
0.0,3585.623
0.0,4498.667
0.0,4498.667
0.0,4498.667
0.0,4498.667
0.0,3514.667
257.0,3482.667
0.0,4498.667
255.0,4498.667
1000000.0,3545.67
498.0,3545.67
0.0,3665.333
0.0,3332.0
1000000.0,3665.333
0.0,3498.667
1000000.0,3498.667
1000000.0,3606.713
0.0,3606.713
0.0,4202.952
0.0,4202.952
0.0,4498.667
0.0,4498.667
0.0,4498.667
257.0,4498.667
4.0,4498.667
257.0,4498.667
1000000.0,3567.296
0.0,3567.296
0.0,3665.333
279.0,3332.0
1000000.0,3641.524
0.0,3641.524
0.0,4498.667
0.0,4498.667
0.0,4498.667
0.0,4498.667
0.0,3528.333
0.0,3528.333
28.0,5698.667
0.0,5698.667
1000000.0,3546.453
376.0,3546.853
0.0,3905.333
1000000.0,3905.333
1000000.0,3787.693
0.0,3787.693
0.0,5500.333
0.0,5500.333
0.0,4510.667
0.0,4510.667
767.0,1535.246
111.0,2240.458
835.0,166.667
3513.0,4592.541
887.0,296.0
835.0,333.333
655.0,1061.156
1035.0,2165.462
459.0,2866.667
835.0,333.333
459.0,1666.667
1000000.0,2609.524
459.0,833.333
459.0,1666.667
835.0,333.333
459.0,1666.667
459.0,785.414
800.0,160.559
459.0,1000.0
835.0,500.0
835.0,431.235
286.0,3300.0
835.0,166.667
459.0,698.667
1000000.0,875.062
286.0,3300.0
891.0,549.215
459.0,2866.667
459.0,1666.667
835.0,333.333
835.0,1037.619
835.0,333.333
775.0,485.215
835.0,1072.794
866.0,16.0
459.0,726.0
1000000.0,976.19
1000000.0,3850.138
835.0,666.127
835.0,333.333
397.0,2073.791
1000000.0,669.842
0.0,4356.0
835.0,333.333
12022.0,6690.55
886.0,300.0
835.0,406.667
1690.0,1784.367
755.0,1409.855
745.0,608.046
835.0,333.333
864.0,349.333
286.0,3300.0
835.0,333.333
835.0,333.333
835.0,333.333
1283.0,1018.648
835.0,333.333
856.0,1813.333
818.0,363.0
501.0,1286.0
557.0,1007.941
835.0,333.333
0.0,4466.667
775.0,485.215
835.0,333.333
866.0,16.0
146917.0,2230.905
745.0,500.0
459.0,2866.667
1000000.0,2356.344
1000000.0,1430.198
852.0,363.0
835.0,333.333
835.0,761.905
835.0,333.333
459.0,2702.667
843.0,429.706
835.0,333.333
133952.0,1401.483
835.0,333.333
0.0,5833.333
835.0,333.333
0.0,4466.667
835.0,333.333
14926.0,6002.26
866.0,16.0
767.0,1361.333
835.0,833.333
801.0,1212.245
796.0,922.333
767.0,349.333
796.0,755.667
775.0,485.215
835.0,1512.0
866.0,16.0
459.0,2866.667
835.0,333.333
1000000.0,4640.58
459.0,1666.667
0.0,3332.0
0.0,3332.0
0.0,6132.0
0.0,6132.0
1000000.0,3380.522
4659.0,3380.522
12.0,3612.0
1000000.0,3612.0
1000000.0,3380.951
42.0,3380.951
0.0,3353.687
0.0,3353.687
0.0,6132.0
0.0,6132.0
0.0,6332.0
0.0,6332.0
0.0,6332.0
0.0,6332.0
1000000.0,3352.786
56.0,3352.786
0.0,3932.0
1000000.0,3932.0
1000000.0,3369.39
0.0,3369.39
0.0,6332.0
32.0,6332.0
0.0,6332.0
0.0,6332.0
0.0,4332.0
0.0,4332.0
60.0,4332.0
0.0,4332.0
1000000.0,3360.045
0.0,3360.045
279.0,3465.333
1000000.0,3465.333
1000000.0,3418.957
0.0,3418.957
0.0,4332.0
0.0,4332.0
0.0,4332.0
0.0,4332.0
0.0,3348.0
257.0,3316.0
0.0,4332.0
255.0,4332.0
1000000.0,3379.004
498.0,3379.004
0.0,3498.667
1000000.0,3498.667
1000000.0,3440.046
0.0,3440.046
0.0,4036.286
0.0,4036.286
0.0,4332.0
