fitnessCallNoOverall,fitnessCallNoByClusterGroup,dependentClusterGroup,searchStepName,iterationNumber,generationNumber,computedFitnessScore,computedInconsistenciesObjectiveScore,computedAestheticObjectiveScore
62,62,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
63,63,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
64,64,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
65,65,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1471.9993618433537,1471.0,498.7951807228918
66,66,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999756653E7,1000000.0,1308.045977011494
67,67,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
68,68,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,912.9892745142157,912.0,29.666666666666664
69,69,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
70,70,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
71,71,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.996614124496,1015.0,94.00755594303982
72,72,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999631252E7,1000000.0,863.2211135630628
73,73,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,796.9990450732063,796.0,333.33333333333326
74,74,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9996927511705,895.0,1036.0
75,75,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,953.9997344528174,953.0,1198.693992018121
76,76,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999599572E7,1000000.0,794.9209576104251
77,77,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
78,78,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000997054026E7,1000000.0,108.04597701149424
79,79,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999332253E7,1000000.0,476.6922261116152
80,80,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
81,81,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9970540245315,895.0,108.04597701149424
82,82,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
83,83,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.9100000999456566E7,1000000.0,585.7381170258643
84,84,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1015.998042840007,1015.0,162.63661429704695
85,85,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
86,86,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
87,87,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.910000099858126E7,1000000.0,224.35980772669424
88,88,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
89,89,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
90,90,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.998870956848,895.0,281.9277108433735
91,91,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,1.910000099925786E7,1000000.0,428.9059285188546
92,92,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9992172723494,835.0,406.66666666666663
93,93,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
94,94,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,835.9990450732063,835.0,333.3333333333332
95,95,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,866.9801314756944,866.0,16.0
96,96,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.9983743600721,895.0,195.80419580419573
97,97,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,808.9979601811273,808.0,156.04597701149424
98,98,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
99,99,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,895.5,895.0,0.0
100,100,"[C8, C17, C7, C39, C15, C25]",initialization,1,1,796.999278830398,796.0,441.37931034482745
101,101,"[C8, C17, C7, C39, C15, C25]",avm,1,1,796.9998984117419,796.0,3133.3333333333326
102,102,"[C8, C17, C7, C39, C15, C25]",avm,1,1,790.9998984117419,790.0,3133.3333333333326
103,103,"[C8, C17, C7, C39, C15, C25]",avm,1,1,778.9998984117419,778.0,3133.3333333333326
104,104,"[C8, C17, C7, C39, C15, C25]",avm,1,1,754.9998984117419,754.0,3133.3333333333326
105,105,"[C8, C17, C7, C39, C15, C25]",avm,1,1,706.9998984117419,706.0,3133.3333333333326
106,106,"[C8, C17, C7, C39, C15, C25]",avm,1,1,610.9998984117419,610.0,3133.3333333333326
107,107,"[C8, C17, C7, C39, C15, C25]",avm,1,1,418.9998984117419,418.0,3133.3333333333326
108,108,"[C8, C17, C7, C39, C15, C25]",avm,1,1,1131.999898411742,1131.0,3133.3333333333326
109,109,"[C8, C17, C7, C39, C15, C25]",avm,1,1,424.9998984117419,424.0,3133.3333333333326
110,110,"[C8, C17, C7, C39, C15, C25]",avm,1,1,412.9998984117419,412.0,3133.3333333333326
111,111,"[C8, C17, C7, C39, C15, C25]",avm,1,1,400.9998984117419,400.0,3133.3333333333326
112,112,"[C8, C17, C7, C39, C15, C25]",avm,1,1,376.9998984117419,376.0,3133.3333333333326
113,113,"[C8, C17, C7, C39, C15, C25]",avm,1,1,337.9998984117419,337.0,3133.3333333333326
114,114,"[C8, C17, C7, C39, C15, C25]",avm,1,1,487.9998984117419,487.0,3133.3333333333326
115,115,"[C8, C17, C7, C39, C15, C25]",avm,1,1,337.9998984117419,337.0,3133.3333333333326
